Row,Var1,Var2,Var3,Var4,Var5,Var6
20200707,-0.0245889703624213,-0.0286612415158509,-0.0340340393569047,-0.0289573621557574,-0.0237715716229852,-0.0398499323061498
20200708,-0.0264194053758787,-0.018616938561003,-0.0145421849572283,-0.00937843379467499,-0.0162146835817455,-0.035415418436861
20200709,-0.02312058669762,-0.0142767531523328,-0.0186206628094469,-0.0161098372532692,-0.00841021178474322,-0.0177670931167859
20200710,-0.0268003565204936,-0.0137692086540985,-0.0188270983152037,-0.016481718735783,-0.0147308447604162,-0.0179219469152258
20200713,-0.0363741723343584,-0.0179966276825907,-0.0254262953315011,-0.0501994804207564,-0.022788882039852,-0.0303023390511065
20200714,-0.0240665593589054,-0.0124939137107589,-0.0118372616841906,-0.00646657659206365,-0.0104296371059624,-0.0148045490648587
20200715,-0.0267723015077122,-0.0156105936372938,-0.0172165582685115,-0.0209053345744316,-0.0107541341427634,-0.0178960968495989
20200716,-0.031496038343621,-0.0158404265532682,-0.0164500860321996,-0.0187982710164436,-0.0444058648211471,-0.043158661279916
20200717,-0.0259800444261706,-0.0130307338218754,-0.0126549511263819,-0.0129341109276067,-0.0160516782153818,-0.0211040091581727
20200720,-0.0228558675341734,-0.0135311835480736,-0.0106720917586487,-0.0146104560451233,-0.00912016195984083,-0.0201309896630442
20200721,-0.0231908921485217,-0.0169098515754428,-0.0145467953491074,-0.0170185075997059,-0.0112838619236613,-0.0208557694474308
20200722,-0.0273430683047,-0.0130718687394427,-0.0135511153320713,-0.0147247466328879,-0.0126112036890173,-0.0158709716825413
20200723,-0.0245293631900029,-0.0119317001660351,-0.0116403777809641,-0.0153891787218143,-0.00804040701098857,-0.0118781173963927
20200724,-0.0311437103632225,-0.0156780663636641,-0.016403617805332,-0.017828301185464,-0.0107322691889483,-0.0212471692995094
20200727,-0.0347824440530587,-0.01627065054271,-0.0155856458193876,-0.022532892009185,-0.0174428414518585,-0.0255388783364318
20200728,-0.0298166873355863,-0.0127523868244178,-0.0117008187770421,-0.0152724590058962,-0.0117728994090188,-0.0122391517083435
20200729,-0.0233255938983268,-0.0130490104102474,-0.0112267295212152,-0.0139610557932395,-0.00795437658100671,-0.0115541328742282
20200730,-0.0226372681584311,-0.013897800410826,-0.012923211333367,-0.0156685802051549,-0.01051697229262,-0.0149989128026131
20200731,-0.0260975227359604,-0.013591303244549,-0.014556489914476,-0.0145188941231079,-0.0126587724404302,-0.0154511183690061
20200803,-0.023347173983948,-0.0122835661374193,-0.0126585538938884,-0.0135032989206615,-0.00966603572989511,-0.0112717523056594
20200804,-0.0227274810254457,-0.0132959033114889,-0.0118177434630343,-0.0147923043700918,-0.00848009220926177,-0.0126250577691498
20200805,-0.0229770907594261,-0.0138923253802348,-0.0146302970913566,-0.0167198955879005,-0.0105621302452015,-0.0156292235142514
20200806,-0.0284632918550388,-0.0138978100689335,-0.0155336928154259,-0.0155194516906492,-0.0126490431539319,-0.0175504394936633
20200807,-0.0232073059998895,-0.0125327977321259,-0.0118615677540306,-0.0145463233015825,-0.00878179855564301,-0.0137872827261832
20200810,-0.0267474702848582,-0.014488304553165,-0.0145369305086048,-0.0141615084929557,-0.0108744038351773,-0.0173977917951089
20200811,-0.0231679172436327,-0.013690286993729,-0.011277833323868,-0.0145945889805452,-0.0086018821643326,-0.0132024246262521
20200812,-0.0225674853330606,-0.0129323338319527,-0.0116194975867098,-0.0141455728702492,-0.00762895300444959,-0.0131553067976959
20200813,-0.0225994770645093,-0.012205042589283,-0.0112240834065396,-0.0139391495524614,-0.00914500850103176,-0.0145229224707832
20200814,-0.0265161460520199,-0.0122099484461324,-0.0116185073142031,-0.0143328226001364,-0.009305437997337,-0.0153571193244186
20200817,-0.0231883912382426,-0.0132855032183628,-0.0129304293310204,-0.0145424637280385,-0.00918279920772539,-0.01472084820946
20200818,-0.0234171028324752,-0.0171603443624135,-0.0146193527126408,-0.0180360266589407,-0.0113543229441309,-0.0207903757423416
20200819,-0.0231116005423991,-0.0146544433061947,-0.0145341760534837,-0.0157447713311538,-0.0143081663647255,-0.0178374310331973
20200820,-0.0232777319396966,-0.0126463233147662,-0.0126310395412319,-0.0164251351756113,-0.0114415437272152,-0.0165970077630841
20200821,-0.0328955295879798,-0.0151005037426249,-0.0135725335874601,-0.0175836921149973,-0.00954111842709386,-0.0196360025059508
20200824,-0.0265359690036527,-0.0120372011871977,-0.0112577835678592,-0.0132855961166835,-0.00772534151333332,-0.0128213934458793
20200825,-0.0227276799879275,-0.0121997099952555,-0.0125860709044516,-0.0138556346341974,-0.00916462003307547,-0.0130948666678049
20200826,-0.0224334957782494,-0.0118863427518214,-0.011240747985041,-0.0143556134046937,-0.00768670361120435,-0.0120864029500843
20200827,-0.027072871831413,-0.013162352815104,-0.0125896442710535,-0.0168801918065595,-0.0124414397547697,-0.0172346802535229
20200828,-0.0229305905163586,-0.0122607486050524,-0.0116456213346845,-0.0134980017941512,-0.00966840104680456,-0.0120252403682922
20200831,-0.0233054372713481,-0.0135718081746422,-0.0123667063713259,-0.0157781470752385,-0.00924256558133589,-0.0132618587136491
20200901,-0.0233048451105828,-0.0119576999742067,-0.0145618173434098,-0.0138074471426208,-0.0109805409371615,-0.0131529788729187
20200902,-0.0223759721663586,-0.0134878824756256,-0.0107072232952652,-0.0137065492123243,-0.0128395776158014,-0.0120999574967308
20200903,-0.0224384984825173,-0.0135801607997368,-0.0145627826175481,-0.01573351489566,-0.0130764180378201,-0.0141082789936204
20200904,-0.0307567251567997,-0.0129404091249192,-0.0116938729350435,-0.0158356527001454,-0.00808814933011559,-0.0121996742607065
20200907,-0.0233674493376962,-0.0142351495246515,-0.0116430284787197,-0.0144733600401468,-0.0109439602946594,-0.013079485846065
20200908,-0.0227035936365193,-0.0119921976486014,-0.0106534483964496,-0.0135163073610601,-0.0095610730135631,-0.0153082061616064
20200909,-0.0229666961807803,-0.0135954656285841,-0.0135253691037049,-0.0174344933036981,-0.00927385593342284,-0.0147901654322644
20200910,-0.0266745654524434,-0.0132780317397336,-0.0116687742995083,-0.0153280995008477,-0.00769791387423242,-0.0143907691669038
20200911,-0.0229313806464733,-0.0136032215466028,-0.0136078164718052,-0.0159471244862098,-0.00922267108786399,-0.0154422840448747
20200914,-0.0289524397148439,-0.0125372506276923,-0.011846874553946,-0.0134276861613736,-0.00769266106284036,-0.0112709051086686
20200915,-0.0234858949818825,-0.012192158875004,-0.0106572039959731,-0.0151568967042539,-0.00830766989975593,-0.0119441667566645
20200916,-0.0223832504908497,-0.0122181082715299,-0.0116199144001503,-0.013993600881098,-0.00759875966268648,-0.0115293206762336
20200917,-0.0222979293433239,-0.012750700105059,-0.0118079027129577,-0.0139868655216256,-0.00752600821196773,-0.012079931385436
20200918,-0.0223467411757801,-0.011914997497078,-0.010656485990354,-0.0143206584774801,-0.00751854214178716,-0.0141620318610431
20200921,-0.0229035532557872,-0.014437088191478,-0.0129310719270558,-0.016527548616691,-0.00981950276751185,-0.0164515427390371
20200922,-0.0262933173471959,-0.0126559970350553,-0.0126286076758306,-0.0149147559488082,-0.0111007863684662,-0.0145439309790381
20200923,-0.0283816737601488,-0.0145441009805316,-0.0136135530914323,-0.0147190762814494,-0.0112531302058389,-0.01544864401416
20200924,-0.0230477188124647,-0.0133379701720767,-0.0116743812974976,-0.0147792797374351,-0.00867306072337175,-0.0123427025389515
20200925,-0.0324988996237359,-0.0126136121294451,-0.0126293012264353,-0.0161082641238264,-0.00932274489725342,-0.0163613005687809
20200928,-0.0236132038871349,-0.0119078681113612,-0.0116622822334167,-0.013382192686602,-0.00939469684078214,-0.0135290442949311
20200929,-0.0225093222558367,-0.0122060130114485,-0.0135498359293505,-0.0154847169458073,-0.0115585085135114,-0.0128867283740908
20200930,-0.0326452820848543,-0.0128944797667606,-0.0136424725923743,-0.0165684268067162,-0.0146469794862052,-0.0131915415455797
20201009,-0.0241083364708377,-0.012259505851595,-0.0112694873268727,-0.0132501889179848,-0.00824932717441545,-0.0116548276672609
20201012,-0.0224042737720879,-0.0127654984845798,-0.0116331982411086,-0.0145361311977296,-0.00836479739639143,-0.0121036696293847
20201013,-0.0232603016436774,-0.0142311936104393,-0.0135375631848664,-0.0164707893785268,-0.00914148348391366,-0.0168607174857854
